SbjNum,Area,Sex,Ethnicity,Age,Status,SchoolYrs
16206820,Rural,Female,Indigenous,18,Single,10
16206823,Rural,Male,Indigenous,23,Single,15
16206824,Rural,Male,Indigenous,16,Single,6
16206825,Rural,Female,Non-indigenous,18,Single,12
16206826,Rural,Female,Indigenous,23,Married,12
16206827,Rural,Female,Indigenous,16,Single,4
16206851,Rural,Male,Indigenous,18,Single,9
16206852,Rural,Female,Indigenous,20,Single,12
16206853,Rural,Female,Indigenous,16,Married,6
16206854,Rural,Female,Indigenous,20,Single,6
16206855,Rural,Male,Non-indigenous,20,Married,5
16206864,Rural,Female,Indigenous,18,Married,9
16206865,Rural,Male,Indigenous,17,Married,4
16206866,Rural,Male,Non-indigenous,19,Single,13
16206867,Urban,Female,Non-indigenous,21,Married,12
16206871,Rural,Male,Indigenous,21,Single,8
16206872,Rural,Female,Indigenous,20,Single,9
16206873,Rural,Male,Non-indigenous,20,Single,9
16206874,Rural,Female,Indigenous,19,Married,4
16206875,Rural,Male,Indigenous,17,Single,10
16206878,Rural,Female,Indigenous,15,Single,6
16206879,Rural,Male,Indigenous,24,Married,6
16206880,Rural,Female,Indigenous,20,Single,12
16206881,Rural,Female,Indigenous,20,Single,12
16206882,Rural,Male,Indigenous,20,Single,12
16207462,Rural,Male,Indigenous,21,Single,6
16207463,Rural,Female,Indigenous,18,Single,8
16207464,Rural,Male,Indigenous,20,Single,5
16207465,Rural,Female,Indigenous,24,Married,6
16207466,Rural,Male,Indigenous,17,Single,7
16239546,Rural,Female,Indigenous,21,Single,1
16239547,Rural,Male,Indigenous,21,Single,9
16239548,Rural,Male,Indigenous,15,Single,6
16239549,Rural,Male,Indigenous,15,Single,6
16239553,Rural,Male,Indigenous,17,Single,10
16239554,Rural,Male,Indigenous,19,Single,2
16239558,Rural,Male,Indigenous,23,Married,2
16239559,Rural,Male,Indigenous,24,Married,12
16239560,Rural,Male,Non-indigenous,20,Single,6
16239561,Rural,Male,Indigenous,24,Married,3
16239562,Rural,Female,Indigenous,16,Single,8
16239563,Rural,Male,Indigenous,22,Single,6
16239564,Rural,Female,Indigenous,24,Married,3
16239568,Rural,Male,Indigenous,15,Single,5
16239569,Rural,Male,Indigenous,22,Married,6
16239577,Rural,Female,Indigenous,20,Married,6
16239578,Rural,Male,Indigenous,19,Single,9
16239579,Rural,Female,Indigenous,17,Married,0
16239580,Rural,Female,Indigenous,19,Married,6
16239586,Rural,Female,Indigenous,15,Single,7
16239587,Rural,Female,Indigenous,16,Single,6
16239588,Rural,Male,Indigenous,15,Single,8
16239773,Rural,Male,Indigenous,24,Single,3
16239774,Rural,Male,Indigenous,18,Single,8
16239775,Rural,Female,Indigenous,16,Single,6
16239806,Rural,Male,Indigenous,20,Single,4
16239807,Rural,Female,Indigenous,24,Single,11
16239854,Rural,Male,Indigenous,15,Single,7
16239855,Rural,Female,Indigenous,20,Married,12
16274554,Rural,Female,Indigenous,19,Single,12
16274555,Rural,Male,Indigenous,23,Single,6
16274556,Rural,Male,Indigenous,19,Single,10
16274557,Rural,Female,Indigenous,23,Married,6
16274558,Rural,Female,Indigenous,16,Married,5
16274559,Rural,Male,Indigenous,18,Single,9
16274560,Rural,Male,Indigenous,20,Single,9
16274561,Rural,Female,Non-indigenous,21,Married,3
16274562,Rural,Female,Indigenous,18,Married,9
16274563,Rural,Female,Indigenous,15,Single,3
16274566,Rural,Female,Indigenous,21,Single,9
